namespace,pod_name,cpu_cores,memory_mb
richlin,richlin-bear-app-5fcbd9d9b5-s9wtg,1m,1439
riogrande,delayed-riogrande-bear-app-0-67c6899787-ddnnf,1m,410
riogrande,delayed-riogrande-bear-app-1-7c6bcb8d45-dm7zb,1m,841
riogrande,riogrande-bear-app-9875c9d4b-68xv7,23m,2049
riogrande,riogrande-bear-app-9875c9d4b-fvb8n,10m,2055
riovida,delayed-riovida-bear-app-76ff5556db-877n4,1m,448
riovida,riovida-bear-app-69f65d74f7-2hfks,1m,1121
riovida,riovida-bear-app-69f65d74f7-xh4vc,1m,996
riversidedbt,delayed-riversidedbt-bear-app-0-7f4d985858-wd8j6,1m,288
riversidedbt,riversidedbt-bear-app-5465b99f78-fvwqr,1m,846
rmc,delayed-rmc-bear-app-0-fc56f7445-54pf9,1m,411
rmc,rmc-bear-app-fb8455b6d-z9z7s,1m,2085
roadrunner,delayed-roadrunner-bear-app-0-9cf567d4-lk6t5,1m,269
roadrunner,delayed-roadrunner-bear-app-1-84bcfbdd76-t9tfw,1m,253
roadrunner,roadrunner-bear-app-5b9597778c-7zb7r,1m,1465
roadrunner,roadrunner-bear-app-5b9597778c-z2gfp,1m,1192
sacredjourney,delayed-sacredjourney-bear-app-0-fdf9d94c9-hdk5x,1m,395
sacredjourney,sacredjourney-bear-app-674bbc98b7-64fvj,9m,2154
sacredjourney,sacredjourney-bear-app-674bbc98b7-cch6v,11m,2215
safewings,delayed-safewings-bear-app-0-5c48996687-fr2w8,1m,269
safewings,delayed-safewings-bear-app-1-d587f8db5-wtpll,1m,372
safewings,delayed-safewings-bear-app-2-54957bf9cb-rv69b,1m,241
safewings,safewings-bear-app-5dbdf8bf59-kh9tp,1m,1285
sandovalcounty,delayed-sandovalcounty-bear-app-0-5c886d684f-nvf92,1m,326
sandovalcounty,sandovalcounty-bear-app-c98dd78db-gmzdj,1m,1499
sandovalcounty,sandovalcounty-bear-app-c98dd78db-lcrfw,1m,1439
sanfelipe,delayed-sanfelipe-bear-app-0-dc7c46bf8-499lj,1m,364
sanfelipe,delayed-sanfelipe-bear-app-1-7df765c84d-5hhk7,1m,319
sanfelipe,sanfelipe-bear-app-6d75b4bff6-2kbsr,4m,1682
sanfelipe,sanfelipe-bear-app-6d75b4bff6-qm8xc,7m,1749
sangre,delayed-sangre-bear-app-0-854dfbb844-sdmmm,1m,281
sangre,delayed-sangre-bear-app-1-9f68b46df-qg8lq,1m,251
sangre,sangre-bear-app-5864b9f6d5-v26gs,1m,880
sangre,sangre-bear-app-5864b9f6d5-xxgmt,1m,854
savila,delayed-savila-bear-app-6bc7b88585-nqscr,1m,634
savila,savila-bear-app-c4845cd98-hzx7b,8m,1598
savila,savila-bear-app-c4845cd98-p4pnj,3m,1584
serenity,delayed-serenity-bear-app-8668f78484-5wncp,1m,366
serenity,serenity-bear-app-76d956ffb9-b5tkf,1m,648
serenity,serenity-bear-app-76d956ffb9-jxjfx,1m,609
serna,delayed-serna-bear-app-0-74467488b5-dkb9n,1m,403
serna,delayed-serna-bear-app-1-6f96bcbb64-4qvhz,1m,1027
serna,serna-bear-app-6548c65d89-68nw7,2m,2045
serna,serna-bear-app-6548c65d89-7frh9,3m,2182
sfis,delayed-sfis-bear-app-898b4bb64-6mmtw,1m,395
sfis,sfis-bear-app-576c7f4f54-r2zk2,7m,1293
sfis,sfis-bear-app-576c7f4f54-sstqk,3m,1346
sfrecovery,delayed-sfrecovery-bear-app-0-7c5794cf8-8smrf,1m,359
sfrecovery,delayed-sfrecovery-bear-app-1-857bd7cb64-pc5sq,1m,245
sfrecovery,delayed-sfrecovery-bear-app-2-786776b9d-prqq5,1m,349
sfrecovery,sfrecovery-bear-app-56f65d9b85-4rdlj,1m,1071
sfrecovery,sfrecovery-bear-app-56f65d9b85-4t25t,1m,947
sfrecovery,sfrecovery-bear-app-56f65d9b85-hwqsw,1m,955
sfrecovery,sfrecovery-bear-app-56f65d9b85-nx8pl,1m,1053
sfrtest,delayed-sfrtest-bear-app-0-77986f4888-rzp4l,1m,281
sfrtest,sfrtest-bear-app-774f5bd844-k8c4k,1m,872
skycenter,delayed-skycenter-bear-app-0-8c6584977-ngbnt,1m,340
skycenter,delayed-skycenter-bear-app-1-74797c756d-chpng,1m,293
skycenter,skycenter-bear-app-67bd69cc75-784k8,28m,1692
skycenter,skycenter-bear-app-67bd69cc75-bvxc2,8m,1677
skytherapy,delayed-skytherapy-bear-app-0-7b64d65bb9-tfjpj,1m,281
skytherapy,skytherapy-bear-app-6b67bcd7c9-2g9b8,1m,1150
socorro,socorro-bear-app-67b54ffc94-h2mmt,1m,639
solace,delayed-solace-bear-app-0-64448b6c54-wbm2r,1m,359
solace,solace-bear-app-b7b9fd-6lnrz,3m,1417
solace,solace-bear-app-b7b9fd-dbjsl,15m,1398
sonoran,delayed-sonoran-bear-app-0-99cdc676d-jf94v,1m,295
sonoran,delayed-sonoran-bear-app-1-655f9b7557-gv6nz,1m,263
sonoran,sonoran-bear-app-56988f6447-78hgn,1m,1064
sonoran,sonoran-bear-app-56988f6447-rrhkn,1m,1055
staging,delayed-staging-bear-app-7fff85b4fd-kn6vs,1m,299
staging,staging-bear-app-c95bbfbf6-s8qmj,1m,689
startherapeutics,delayed-startherapeutics-bear-app-0-6fcf548b88-xlj6k,1m,281
startherapeutics,startherapeutics-bear-app-7b97b64dc5-nkrpr,1m,1142
stepstosuccess,delayed-stepstosuccess-bear-app-0-85479655b8-rkbfc,1m,278
stepstosuccess,stepstosuccess-bear-app-7f9dbf89dc-2h526,1m,1166
stxavier,delayed-stxavier-bear-app-0-6dd4bc544f-s9zvg,1m,988
stxavier,stxavier-bear-app-5474c94f9-m62bl,1m,1826
swc,swc-bear-app-584b465456-258rz,1m,652
taos,delayed-taos-bear-app-89784b4d-hdv95,1m,396
taos,taos-bear-app-cfb849f57-ngdzr,8m,1327
taos,taos-bear-app-cfb849f57-pd25d,3m,1237
tb,tb-bear-app-77dcd9c9fb-mh6m6,1m,654
tbbh,delayed-tbbh-bear-app-0-7b5b88fb97-cf222,1m,462
tbbh,delayed-tbbh-bear-app-1-755bc9844d-gp9x5,1m,2124
tbbh,tbbh-bear-app-7f4fd679b-4bd2n,146m,3630
tbbh,tbbh-bear-app-7f4fd679b-q2qpb,29m,2867
tcc,delayed-tcc-bear-app-0-5f9595446c-k4g9b,1m,365
tcc,tcc-bear-app-64488cf7f-x7sgh,1m,1428
ted,delayed-ted-bear-app-b58f5d4f9-4jwnv,1m,384
ted,ted-bear-app-59c65f654-8kwlv,1m,889
ted,ted-bear-app-59c65f654-hb2vf,1m,841
testtbbh,delayed-testtbbh-bear-app-0-6f4bcddc7f-ckncj,1m,360
testtbbh,testtbbh-bear-app-99c64f87b-5hgvv,1m,1875
testtbbh,testtbbh-bear-app-99c64f87b-mvw6g,1m,1845
tewaroots,delayed-tewaroots-bear-app-0-67dbfb9877-zs9bc,1m,366
tewaroots,delayed-tewaroots-bear-app-1-f74f9b8ff-dbns4,1m,383
tewaroots,tewaroots-bear-app-7db9c559bb-hqpqv,1m,1580
tewaroots,tewaroots-bear-app-7db9c559bb-vflpg,3m,1632
tierranueva,delayed-tierranueva-bear-app-0-75dddbf479-qr6m7,3m,406
tierranueva,delayed-tierranueva-bear-app-1-855c58f786-q726j,1m,1165
tierranueva,tierranueva-bear-app-74d59dccdf-k9pmx,70m,1427
tierranueva,tierranueva-bear-app-74d59dccdf-zlzjj,14m,1561
tpcares,delayed-tpcares-bear-app-0-59ccf78b87-mqjb9,1m,281
tpcares,tpcares-bear-app-684bd67799-7785c,1m,1147
tpcares,tpcares-bear-app-684bd67799-jd9ll,1m,1190
treeroots,delayed-treeroots-bear-app-0-89bd8bf66-mr5dj,2m,282
treeroots,treeroots-bear-app-6c869989b5-vbgxp,1m,1172
tresco,delayed-tresco-bear-app-0-5597548987-f2gtl,1m,342
tresco,tresco-bear-app-5ddf579774-ptqhw,1m,2237
tresco,tresco-bear-app-5ddf579774-tl5kd,1m,2100
umoja,delayed-umoja-bear-app-0-7f4c4f8b5f-g2q6d,1m,1007
umoja,delayed-umoja-bear-app-1-79bf99b4db-dfbdw,2m,384
umoja,umoja-bear-app-7b8f9bf4d8-q54tq,1m,2314
umoja,umoja-bear-app-7b8f9bf4d8-x475p,1m,2401
valencia,delayed-valencia-bear-app-0-75494dddc9-vklsd,1m,280
valencia,delayed-valencia-bear-app-1-76cf59786c-6p8bc,1m,256
valencia,valencia-bear-app-79b94cc8b6-6n5hp,1m,1478
valencia,valencia-bear-app-79b94cc8b6-gs7zb,1m,1540
valley,delayed-valley-bear-app-0-589fdf7bd4-l7642,1m,791
valley,valley-bear-app-679cbdfb6d-8pcj8,1m,2219
valley,valley-bear-app-679cbdfb6d-z6gzw,2m,2357
vds,vds-bear-app-6d7c48c9f7-9t46l,1m,1169
willow,delayed-willow-bear-app-65fd79854f-psdzz,1m,347
willow,willow-bear-app-68b6557696-4qvn8,1m,580
willow,willow-bear-app-68b6557696-q57hr,1m,656
windsong,delayed-windsong-bear-app-0-8446fdf847-x5q88,1m,282
windsong,windsong-bear-app-56c57b7b88-sm8w4,1m,2269
wordsong,delayed-wordsong-bear-app-7869dc8c5d-s9w49,1m,282
wordsong,wordsong-bear-app-5d5c5d5b7b-89mqc,1m,630
wordsong,wordsong-bear-app-5d5c5d5b7b-gkpbg,1m,597
wpa,delayed-wpa-bear-app-54856dcd7d-zks68,1m,303
wpa,wpa-bear-app-674c97c558-8kc2r,1m,660
wpa,wpa-bear-app-674c97c558-97xlb,1m,603
ydi,delayed-ydi-bear-app-867bf58c87-prjd6,1m,433
ydi,ydi-bear-app-655d846fcb-7f2dx,3m,1628
ydi,ydi-bear-app-655d846fcb-kh4s6,3m,1849
ydi,ydi-bear-app-655d846fcb-xhrrz,3m,1601
youragency,delayed-youragency-bear-app-0-659697864c-6p8k4,1m,346
youragency,youragency-bear-app-58b65d9544-n5qrj,1m,1085
youragency,youragency-bear-app-58b65d9544-rtwzw,1m,1138
zbest,delayed-zbest-bear-app-0-784f9c9b44-mnnwt,1m,259
zbest,delayed-zbest-bear-app-1-6597c8fd88-qvmbb,1m,282
zbest,zbest-bear-app-78fccd4fd4-pdpz7,1m,875
zbest,zbest-bear-app-78fccd4fd4-ws7w6,1m,862
ziacares,delayed-ziacares-bear-app-0-5d9f699f8f-z4b9h,1m,885
ziacares,delayed-ziacares-bear-app-1-6dcff5675-rh27p,1m,476
ziacares,ziacares-bear-app-797fb57c79-79j5f,1m,1734
ziacares,ziacares-bear-app-797fb57c79-k5ldl,1m,1677
ziacares,ziacares-bear-app-797fb57c79-n5flj,2m,1722
ziaip,ziaip-bear-app-74984b4bc5-wv75h,1m,1076
zion,delayed-zion-bear-app-0-655546b67c-j4fm9,1m,300
zion,zion-bear-app-7cd7c8499d-gwkgm,1m,884
zion,zion-bear-app-7cd7c8499d-z4djj,1m,1077
